"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"6286","NY","2759703","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D R Sumstine","s.n.",1940,9,1,1940,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Pennsylvania",41.943854,-79.985699,"WGS84",1299,NA
"6287","NY","2759700","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D R Sumstine","s.n.",1940,9,8,1940,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Pennsylvania",40.544513,-80.0295,"WGS84",3036,NA
"6288","NY","2759698","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D R Sumstine","s.n.",1940,9,22,1940,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Pennsylvania",40.544513,-80.0295,"WGS84",3036,NA
"6289","NY","2759699","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D R Sumstine","s.n.",1946,8,3,1940,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Pennsylvania",40.932286,-77.648053,"WGS84",3036,NA
"6290","NY","2759689","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D R Sumstine","s.n.",1947,8,19,1940,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Pennsylvania",40.792095,-77.852963,"WGS84",2862,NA
"6291","NY","2759701","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D R Sumstine","s.n.",1947,8,23,1940,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Pennsylvania",40.898668,-77.298578,"WGS84",6224,NA
"6292","CUP","CUP-002776","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D Reddick",NA,1907,7,15,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",42.752109,-76.833724,NA,7277,NA
"6293","CUP","CUP-007355","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D Reddick",NA,1907,8,2,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",42.440628,-76.496607,NA,10802,NA
"6294","CUP","CUP-000844","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D Reddick",NA,NA,NA,NA,NA,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",42.440628,-76.496607,NA,10802,NA
"6295","CUP","CUP-057968","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","D S Welch",NA,1928,8,2,1920,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","New York",42.453684,-76.467995,"WGS84",883,NA
