Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Perofascia	lepidii	Perofascia lepidii	Brassicaceae	Lepidium virginicum	Lepidium virginicum		No	NA	C3		
Perofascia	macaicola	Perofascia macaicola	Brassicaceae	Lepidium meyenii	Lepidium meyenii		No	NA	C3		
Peronosclerospora	dichanthiicola	Peronosclerospora dichanthiicola	Poaceae	Dichanthium annulatum	Dichanthium annulatum		No	NA	C4		
Peronosclerospora	erichloae	Peronosclerospora erichloae	Poaceae	Eriochloa pseudoacrotricha	Eriochloa pseudoacrotricha		No	NA	C4		
Peronosclerospora	globosa	Peronosclerospora globosa	Poaceae	Eriochloa contracta	Eriochloa contracta		No	NA	C4		
Peronosclerospora	heteropogonis	Peronosclerospora heteropogonis	Poaceae	Heteropogon contortus	Heteropogon contortus		No	NA	C4		
Peronosclerospora	maydis	Peronosclerospora maydis	Poaceae	Zea mays	Zea mays		No	NA	C4		
Peronosclerospora	miscanthi	Peronosclerospora miscanthi	Poaceae	Miscanthus sinenses	Miscanthus sinenses		No	NA	C4		
Peronosclerospora	noblei	Peronosclerospora noblei	Poaceae	Sorghum plumosum	Sorghum plumosum		No	NA	C4		
Peronosclerospora	philippinensis	Peronosclerospora philippinensis	Poaceae	Zea mays	Zea mays		No	NA	C4		
Peronosclerospora	sacchari	Peronosclerospora sacchari	Poaceae	Saccharum sp	Saccharum sp		No	NA	C4		
Peronosclerospora	sargae	Peronosclerospora sargae	Poaceae	Sorghum timorense	Sorghum timorense		No	NA	C4		
Peronosclerospora	sorghi	Peronosclerospora sorghi	Poaceae	Sorghum bicolor	Sorghum bicolor		No	NA	C4		
Peronosclerospora	spontanea	Peronosclerospora spontanea	Poaceae	Saccharum spontaneum	Saccharum spontaneum		No	NA	C4		
Peronosclerospora	westonii	Peronosclerospora westonii	Poaceae	Iseilema laxum	Iseilema laxum		No	NA	C4		
Peronospora	achlydis	Peronospora achlydis	Berberidaceae	Achlys japonicus	Achlys japonicus		No	NA	C3		
Peronospora	aconiti	Peronospora aconiti	Ranunculaceae	"A. fisheri, A. sinomontanum"	Aconitum fisheri		No	NA	C3		
Peronospora	aestivalis	Peronospora aestivalis	Fabaceae	"Medicago sativa, M. polymorpha, M. sativa ssp. falcata, M. lupulina, M. minima"	Medicago sativa		No	NA	C3		
Peronospora	affinis	Peronospora affinis	Papaveraceae	"F. officinalis, F. capreolata, F. densiflora, F. indica, F. muralis, F. parviflora, F. schleicheri, and F. vaillantii"	Fumaria officinalis		No	NA	C3		
