"genus"	"specific_epithet"	"name"	"type_host_species_name"	"host_family"	"mycorrhizae"	"photosynthesis"
"164"	"Peronospora"	"amethysteae"	"Peronospora amethysteae"	"Amethystea caerulea"	"Lamiaceae"	"mycorrhizal"	"C3"
"165"	"Peronospora"	"anagallidis"	"Peronospora anagallidis"	"Anagallis arvensis"	"Primulaceae"	"mycorrhizal"	"C3"
"166"	"Peronospora"	"anchusae"	"Peronospora anchusae"	"Brunnera macrophylla"	"Boraginaceae"	"mycorrhizal"	"C3"
"167"	"Peronospora"	"andicola"	"Peronospora andicola"	"Calceolaria biflora"	"Calceolariaceae"	"mycorrhizal"	"C3"
"168"	"Peronospora"	"andina"	"Peronospora andina"	"Euphorbia rhytisperma"	"Euphorbiaceae"	"mycorrhizal"	"C4"
"169"	"Peronospora"	"androsaces"	"Peronospora androsaces"	"Androsace elongata"	"Primulaceae"	"mycorrhizal"	"C3"
"170"	"Peronospora"	"antirrhini"	"Peronospora antirrhini"	"Misopates orontium"	"Plantaginaceae"	"mycorrhizal"	"C3"
"171"	"Peronospora"	"aparines"	"Peronospora aparines"	"Galium aparine"	"Rubiaceae"	"mycorrhizal"	"C3"
"172"	"Peronospora"	"apiospora"	"Peronospora apiospora"	"Ranunculus gramineus"	"Ranunculaceae"	"mycorrhizal"	"C3"
"173"	"Peronospora"	"apuli"	"Peronospora apuli"	"Papaver apulum"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"174"	"Peronospora"	"aquatica"	"Peronospora aquatica"	"Veronica anagallis-aquatica"	"Plantaginaceae"	"mycorrhizal"	"C3"
"175"	"Peronospora"	"aquilegiicola"	"Peronospora aquilegiicola"	"Aquilegia vulgaris"	"Ranunculaceae"	"mycorrhizal"	"C3"
"176"	"Peronospora"	"arborescens"	"Peronospora arborescens"	"Papaver rhoeas"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"177"	"Peronospora"	"arenariae"	"Peronospora arenariae"	"Moehringia trinervia"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"178"	"Peronospora"	"argemones"	"Peronospora argemones"	"Papaver argemone"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"179"	"Peronospora"	"arnebiae"	"Peronospora arnebiae"	"Arnebia decumbens"	"Boraginaceae"	"mycorrhizal"	"C3"
"180"	"Peronospora"	"arthurii"	"Peronospora arthurii"	"Oenothera biennis"	"Onagraceae"	"mycorrhizal"	"C3"
"181"	"Peronospora"	"arvensis"	"Peronospora arvensis"	"Veronica hederifolia"	"Plantaginaceae"	"mycorrhizal"	"C3"
"182"	"Peronospora"	"asperuginis"	"Peronospora asperuginis"	"Asperugo procumbens"	"Boraginaceae"	"mycorrhizal"	"C3"
"183"	"Peronospora"	"astragali"	"Peronospora astragali"	"Astragalus canadensis"	"Fabaceae"	"mycorrhizal"	"C3"
"184"	"Peronospora"	"astragali-purpurei"	"Peronospora astragali-purpurei"	"Astragalus hypoglottis"	"Fabaceae"	"mycorrhizal"	"C3"
"185"	"Peronospora"	"astragalina"	"Peronospora astragalina"	"Astragalus alpinus"	"Fabaceae"	"mycorrhizal"	"C3"
"186"	"Peronospora"	"atlantica"	"Peronospora atlantica"	"Cerastium atlanticum"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"187"	"Peronospora"	"atriplicis-halimi"	"Peronospora atriplicis-halimi"	"Atriplex halimus"	"Amaranthaceae"	"nonmycorrhizal"	"C4"
"188"	"Peronospora"	"atriplicis-hortensis"	"Peronospora atriplicis-hortensis"	"Atriplex hortensis"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"189"	"Peronospora"	"axyridis"	"Peronospora axyridis"	"Axyris amaranthoides"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"190"	"Peronospora"	"beccarii"	"Peronospora beccarii"	"Geranium dissectum"	"Geraniaceae"	"mycorrhizal"	"C3"
"191"	"Peronospora"	"belbahrii"	"Peronospora belbahrii"	"Ocium basilicum"	"Lamiaceae"	"mycorrhizal"	"C3"
"192"	"Peronospora"	"bocconiae"	"Peronospora bocconiae"	"Bocconia frutescens"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"193"	"Peronospora"	"boehmeriae"	"Peronospora boehmeriae"	"Boehmeria japonica"	"Urticaceae"	"mycorrhizal"	"C3"
"194"	"Peronospora"	"bohemica"	"Peronospora bohemica"	"Chenopodium ficifolium"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"195"	"Peronospora"	"boni-henrici"	"Peronospora boni-henrici"	"Chenopodium bonus-henricus"	"Amaranthaceae"	"nonmycorrhizal"	"C3"
"196"	"Peronospora"	"borealis"	"Peronospora borealis"	"Galium boreale"	"Rubiaceae"	"mycorrhizal"	"C3"
"197"	"Peronospora"	"bothriospermi"	"Peronospora bothriospermi"	"Bothriospermum tenellum"	"Boraginaceae"	"mycorrhizal"	"C3"
"198"	"Peronospora"	"bulbocapni"	"Peronospora bulbocapni"	"Corydalis cava"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"199"	"Peronospora"	"calaminthae"	"Peronospora calaminthae"	"Clinopodium acinos"	"Lamiaceae"	"mycorrhizal"	"C3"
"200"	"Peronospora"	"calandriniae"	"Peronospora calandriniae"	"Cistanthe picta"	"Portulacaceae"	"mycorrhizal"	"C3"
"201"	"Peronospora"	"calotheca"	"Peronospora calotheca"	"Galium odoratum"	"Rubiaceae"	"mycorrhizal"	"C3"
"202"	"Peronospora"	"campestris"	"Peronospora campestris"	"Arenaria serpyllifolia"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"203"	"Peronospora"	"canadensis"	"Peronospora canadensis"	"Linaria canadensis"	"Plantaginaceae"	"mycorrhizal"	"C3"
"204"	"Peronospora"	"candida"	"Peronospora candida"	"Anagallis arvensis"	"Primulaceae"	"mycorrhizal"	"C3"
"205"	"Peronospora"	"canescens"	"Peronospora canescens"	"Plantago canescens"	"Plantaginaceae"	"mycorrhizal"	"C3"
"206"	"Peronospora"	"canscorina"	"Peronospora canscorina"	"Canscora diffusa"	"Gentianaceae"	"mycorrhizal"	"C3"
"207"	"Peronospora"	"capsici"	"Peronospora capsici"	"Capsicum annuum"	"Solanaceae"	"mycorrhizal"	"C3"
"208"	"Peronospora"	"casparyi"	"Peronospora casparyi"	"Pseudostellaria davidii"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"209"	"Peronospora"	"celsiae"	"Peronospora celsiae"	"Verbascum chinense"	"Scrophulariaceae"	"mycorrhizal"	"C3"
"210"	"Peronospora"	"cephalariae"	"Peronospora cephalariae"	"Cephalaria leucantha"	"Caprifoliaceae"	"mycorrhizal"	"C3"
"211"	"Peronospora"	"cephalariae-laevigatae"	"Peronospora cephalariae-laevigatae"	"Cephalaria laevigata"	"Caprifoliaceae"	"mycorrhizal"	"C3"
